,Product,Quantity,Price,Grocery Store,Neighborhood,City
915,3,1.0,1700.0,5,5,3
916,3,1.0,1080.0,5,5,3
917,3,1.0,1150.0,5,11,3
918,3,1.0,1700.0,5,15,3
919,3,1.0,1080.0,5,5,3
920,3,1.0,1360.0,1,15,3
921,3,1.0,680.0,1,9,1
922,3,1.0,819.3832599118944,1,13,3
923,3,1.0,1000.0,1,11,3
925,3,1.0,814.977973568282,1,12,3
926,3,1.0,505.0,1,8,1
927,3,1.0,690.0,1,8,1
928,3,1.0,634.4,1,8,1
929,3,1.0,495.0,1,7,1
930,3,1.0,835.0,1,8,1
931,3,1.0,835.0,1,2,1
933,3,1.0,620.0,1,7,1
934,3,1.0,525.0,1,7,1
935,3,1.0,470.0,2,7,1
936,3,1.0,650.0,2,1,1
937,3,1.0,650.0,2,9,1
938,3,1.0,860.0,2,3,1
939,3,1.0,650.0,2,8,1
941,3,1.0,825.7641228240357,3,10,2
942,3,1.0,806.0106880191892,3,10,2
943,3,1.0,532.9,4,1,1
944,3,1.0,498.45,4,6,1
945,3,1.0,690.0,4,9,1
946,3,1.0,690.0,4,1,1
947,3,1.0,149.98,4,1,1
949,3,1.0,76.5,4,3,1
950,3,1.0,548.41,4,6,1
951,3,1.0,535.0,4,7,1
953,3,1.0,640.6,4,4,1
954,3,1.0,1100.0,4,8,1
955,3,1.0,2544.0,5,5,3
956,3,1.0,900.0,5,5,3
957,3,1.0,1060.0,5,11,3
958,3,1.0,814.977973568282,5,15,3
959,3,1.0,1150.0,5,5,3
960,5,1.0,15.0,1,15,3
961,5,1.0,9.83,1,9,1
962,5,1.0,14.4,1,13,3
963,5,1.0,18.75,1,11,3
964,5,1.0,27.0,1,14,3
965,5,1.0,490.9090909090909,1,12,3
966,5,1.0,12.5,1,8,1
967,5,1.0,16.833333333333332,1,8,1
968,5,1.0,9.83,1,8,1
969,5,1.0,9.0,1,7,1
970,5,1.0,9.83,1,8,1
971,5,1.0,8.416666666666666,1,2,1
972,5,1.0,12.083333333333334,1,2,1
973,5,1.0,10.0,1,7,1
974,5,1.0,11.166666666666666,1,7,1
975,5,1.0,15.483333333333334,2,7,1
976,5,1.0,15.416666666666666,2,1,1
977,5,1.0,9.83,2,9,1
978,5,1.0,9.83,2,3,1
979,5,1.0,12.91,2,8,1
980,5,1.0,16.583333333333332,2,7,1
981,5,1.0,25.96166666666667,3,10,2
982,5,1.0,31.165000000000003,3,10,2
983,5,1.0,9.83,4,1,1
984,5,1.0,9.165833333333333,4,6,1
985,5,1.0,11.331666666666665,4,9,1
